From,Team,Player,Pos,Yrs,Value,AAV,Placeholder
NYK,NYK,OG Anunoby,SF,5,212.5,42.5,Official
LAC,PHI,Paul George,SG,4,211.58494,52.896235,Official
PHI,PHI,Tyrese Maxey,PG,5,203.8526,40.77052,Official
IND,IND,Pascal Siakam,PF,4,188.950272,47.237568,Official
TOR,TOR,Immanuel Quickley,PG,5,162.5,32.5,Official
LAL,LAL,LeBron James,PF,2,101.355998,50.677999,Official
BKN,BKN,Nicolas Claxton,C,4,97.0,24.25,Official
CHI,CHI,Patrick Williams,SF,5,90.0,18.0,Official
NYK,OKC,Isaiah Hartenstein,C,3,87.0,29.0,Official
SAC,SAC,Malik Monk,SG,4,77.975308,19.493827,Official
CHA,CHA,Miles Bridges,SF,3,75.0,25.0,Official
CHI,SAC,DeMar DeRozan,SF,3,73.89,24.63,Official
LAC,LAC,James Harden,SG,2,70.0,35.0,Official
DEN,ORL,Kentavious Caldwell-Pope,SG,3,66.0,22.0,Official
IND,IND,Obi Toppin,PF,4,58.0,14.5,Official
PHI,DET,Tobias Harris,PF,2,52.0,26.0,Official
GSW,DAL,Klay Thompson,SG,3,50.0,16.666667,Official
OKC,OKC,Isaiah Joe,SG,4,48.0,12.0,Official
OKC,OKC,Aaron Wiggins,SG,4,45.0,11.25,Official
PHX,PHX,Royce O'Neale,SF,4,42.0,10.5,Official
PHI,GSW,Buddy Hield,SG,4,37.756096,9.439024,Official
MIA,PHI,Caleb Martin,SF,4,35.040704,8.760176,Official
CLE,CLE,Isaac Okoro,SG,3,33.0,11.0,Official
LAL,LAL,Max Christie,SG,4,32.0,8.0,Official
NOP,WAS,Jonas Valanciunas,C,3,30.295,10.098333,Official
DAL,LAC,Derrick Jones Jr.,SF/PF,3,30.0,10.0,Official
MIN,GSW,Kyle Anderson,PF,3,27.658536,9.219512,Official
NOP,DAL,Naji Marshall,SF,3,27.0,9.0,Official
IND,CHI,Jalen Smith,PF,3,27.0,9.0,Official
ORL,ORL,Goga Bitadze,C,3,25.0,8.333333,Official
ORL,ORL,Moritz Wagner,C,2,22.0,11.0,Official
ATL,WAS,Saddiq Bey,SF,3,19.0,6.333333,Official
PHI,PHI,Kelly Oubre Jr.,SF,2,16.36515,8.182575,Official
UTA,LAC,Kris Dunn,PG,3,16.2792,5.4264,Official
DET,DET,Simone Fontecchio,SF,2,16.0,8.0,Official
PHX,PHX,Josh Okogie,SG,2,16.0,8.0,Official
BOS,UTA,Sviatoslav Mykhailiuk,SG,4,15.05,3.7625,Official
ORL,ORL,Gary Harris,SG,2,15.0,7.5,Official
PHI,GSW,De'Anthony Melton,SG,1,12.822,12.822,Official
UTA,UTA,Johnny Juzang,SG,4,11.425252,2.856313,Official
NOP,ATL,Cody Zeller,C,3,11.025,3.675,Official
MIA,MIA,Haywood Highsmith,F,2,10.816,5.408,Official
GSW,DEN,Dario Saric,PF,2,10.5944,5.2972,Official
GSW,SAS,Chris Paul,PG,1,10.46,10.46,Official
ATL,ATL,Vit Krejci,PG,4,10.185213,2.546303,Official
CHI,PHI,Andre Drummond,C,2,10.0,5.0,Official
PHX,UTA,Drew Eubanks,C,2,9.75,4.875,Official
PHI,LAC,Nicolas Batum,SF,2,9.5694,4.7847,Official
HOU,HOU,Aaron Holiday,PG,2,9.5694,4.7847,Official
MEM,MEM,Luke Kennard,SG,1,9.25,9.25,Official
NYK,BKN,Shake Milton,SG,3,9.162406,3.054135,Official
NYK,CHA,DaQuan Jeffries,SG,3,8.250098,2.750033,Official
MIA,MIA,Kevin Love,C/PF,2,8.0,4.0,Official
NYK,CHA,Charlie Brown Jr.,SG,3,7.658796,2.552932,Official
BOS,BOS,Neemias Queta,C,3,7.180128,2.393376,Official
PHX,PHI,Eric Gordon,SG,2,6.772731,3.386366,Official
UTA,DEN,Russell Westbrook,PG,2,6.772731,3.386366,Official
NYK,NYK,Precious Achiuwa,PF,1,6.0,6.0,Official
MIL,DET,Malik Beasley,SG,1,6.0,6.0,Official
DET,IND,James Wiseman,C,2,4.784366,2.392183,Official
BOS,BOS,Xavier Tillman,C,2,4.784366,2.392183,Official
WAS,WAS,Anthony Gill,PF,2,4.784366,2.392183,Official
MIN,MIN,Luka Garza,C,2,4.512184,2.256092,Official
BKN,BKN,Keon Johnson,SG,2,4.512184,2.256092,Official
IND,SAC,Doug McDermott,SF,1,3.303771,3.303771,Official
NYK,MIA,Alec Burks,SG,1,3.303771,3.303771,Official
DEN,DEN,DeAndre Jordan,C,1,3.303771,3.303771,Official
CHA,CHA,Seth Curry,SG,1,3.303771,3.303771,Official
SAC,SAC,Alex Len,C,1,3.303771,3.303771,Official
LAC,PHX,Mason Plumlee,C,1,3.303771,3.303771,Official
TOR,TOR,Garrett Temple,SG,1,3.303771,3.303771,Official
CLE,CLE,Tristan Thompson,C,1,3.303771,3.303771,Official
DAL,DAL,Markieff Morris,PF,1,3.303771,3.303771,Official
ORL,MIN,Joe Ingles,SF,1,3.303771,3.303771,Official
IND,IND,James Johnson,PF,1,3.303771,3.303771,Official
LAL,DAL,Spencer Dinwiddie,PG,1,3.303771,3.303771,Official
PHI,PHI,Kyle Lowry,PG,1,3.303771,3.303771,Official
MIA,UTA,Patty Mills,PG,1,3.303771,3.303771,Official
DET,CHA,Taj Gibson,C,1,3.303771,3.303771,Official
MIN,NYK,T.J. Warren,SF,1,3.303771,3.303771,Official
CLE,NYK,Marcus Morris Sr.,SF,1,3.303771,3.303771,Official
WAS,PHX,Tyus Jones,PG,1,3.003427,3.003427,Official
PHI,NYK,Cameron Payne,PG,1,3.003427,3.003427,Official
MIA,MIL,Delon Wright,PG,1,3.003427,3.003427,Official
LAL,MIL,Taurean Prince,PF,1,2.98855,2.98855,Official
MIN,PHX,Monte Morris,PG,1,2.800834,2.800834,Official
BOS,BOS,Luke Kornet,C,1,2.800834,2.800834,Official
MIA,MIA,Thomas Bryant,C,1,2.800834,2.800834,Official
PHX,PHX,Damion Lee,SG,1,2.800834,2.800834,Official
LAC,NOP,Daniel Theis,C,1,2.800834,2.800834,Official
BKN,BKN,Trendon Watford,PF,1,2.726603,2.726603,Official
WAS,NYK,Landry Shamet,SG,1,2.61312,2.61312,Official
TOR,MIL,Gary Trent Jr.,SG,1,2.61312,2.61312,Official
CHA,POR,Devonte' Graham,PG,1,2.61312,2.61312,Official
BKN,BOS,Lonnie Walker IV,SG,1,2.61312,2.61312,Official
PHI,LAC,Mohamed Bamba,C,1,2.61312,2.61312,Official
UTA,CHI,Talen Horton-Tucker,SG,1,2.425403,2.425403,Official
MIN,SAC,Jordan McLaughlin,PG,1,2.425403,2.425403,Official
PHX,PHX,Bol Bol,PF,1,2.425403,2.425403,Official
POR,NYK,Moses Brown,C,1,2.425403,2.425403,Official
DEN,DEN,Vlatko Cancar,PF,1,2.425403,2.425403,Official
CHI,NOP,Javonte Green,SG,1,2.425403,2.425403,Official
ORL,NYK,Chuma Okeke,PF,1,2.237691,2.237691,Official
DET,SAS,Malachi Flynn,PG,1,2.237691,2.237691,Official
UTA,WAS,Kira Lewis Jr.,PG,1,2.237691,2.237691,Official
MEM,DET,Lamar Stevens,SF,1,2.237691,2.237691,Official
LAL,MIN,Skylar Mays,SG,1,2.237691,2.237691,Official
LAC,SAS,Brandon Boston Jr,SG,1,2.162606,2.162606,Official
SAS,SAS,Sandro Mamukelashvili,C,1,2.162606,2.162606,Official
DEN,LAC,Braxton Key,SF,1,2.162606,2.162606,Official
HOU,HOU,Nate Hinton,SG,1,2.162606,2.162606,Official
MEM,LAL,Jordan Goodwin,PG,1,2.162606,2.162606,Official
ORL,ATL,Kevon Harris,SG,1,2.087519,2.087519,Official
NOP,DET,Dereon Seabron,SG,1,2.087519,2.087519,Official
MIA,SAC,Orlando Robinson,C,1,2.087519,2.087519,Official
DET,TOR,Jared Rhoden,SG,1,2.087519,2.087519,Official
CLE,PHI,Isaiah Mobley,PF,1,2.087519,2.087519,Official
MIA,IND,Cole Swider,F,1,2.087519,2.087519,Official
POR,MIL,Ibou Badji,C,1,2.087519,2.087519,Official
BKN,CLE,Jacob Gilyard,PG,1,2.087519,2.087519,Official
SAC,ORL,Jalen Slawson,PF,1,1.862265,1.862265,Official
IND,UTA,Isaiah Wong,PG,1,1.862265,1.862265,Official
OKC,CHA,Keyontae Johnson,SF,1,1.862265,1.862265,Official
CHA,BKN,Amari Bailey,PG,1,1.862265,1.862265,Official
HOU,HOU,Jermaine Samuels,SF,1,1.862265,1.862265,Official
CHI,POR,Henri Drell,SF,1,1.862265,1.862265,Official
TOR,MIA,Malik Williams,C,1,1.862265,1.862265,Official
WAS,CLE,Jules Bernard,SG,1,1.862265,1.862265,Official
CHA,CLE,JT Thor,PF,1,0.0,0.0,Official
CHA,POR,Bryce McGowens,SG,1,0.0,0.0,Official
SAC,DAL,Kessler Edwards,SF,1,0.0,0.0,Official
UTA,UTA,Micah Potter,C,1,0.0,0.0,Official
IND,UTA,Oscar Tshiebwe,PF,1,0.0,0.0,Official
LAL,MEM,Colin Castleton,PF,1,0.0,0.0,Official
ATL,LAC,Seth Lundy,SG,2,0.0,0.0,Official
CLE,CLE,Emoni Bates,SG,1,0.0,0.0,Official
BOS,BOS,J.D. Davison,PG,1,0.0,0.0,Official
CHI,CHI,Adama Sanogo,PF,1,0.0,0.0,Official
DEN,MEM,Jay Huff,C,1,0.0,0.0,Official
LAC,CHA,Moussa Diabate,PF,1,0.0,0.0,Official
GSW,PHI,Lester Quinones,SG,1,0.0,0.0,Official
SAS,ATL,Dominick Barlow,PF,1,0.0,0.0,Official
HOU,HOU,Jeenathan Williams,SG,1,0.0,0.0,Official
MIA,NOP,Jamal Cain,SF,1,0.0,0.0,Official
ORL,ORL,Trevelin Queen,SG,1,0.0,0.0,Official
POR,POR,Justin Minaya,F,0,0.0,,Official
SAS,SAS,David Duke Jr.,SG,1,0.0,0.0,Official
DAL,DAL,Brandon Williams,PG,1,0.0,0.0,Official
NYK,CHA,Duane Washington Jr.,PG,0,0.0,,Official
CLE,PHI,Pete Nance,PF,1,0.0,0.0,Official
PHI,PHI,Jeff Dowtin,PG,1,0.0,0.0,Official
IND,IND,Quenton Jackson,G,1,0.0,0.0,Official
NYK,ATL,Jacob Toppin,SF,1,0.0,0.0,Official
WAS,WAS,Tristan Vukcevic,C,1,0.0,0.0,Official
LAC,DAL,Kai Jones,PF,1,0.0,0.0,Official
DEN,PHX,Collin Gillespie,PG,1,0.0,0.0,Official
