FromTo,Player,Pos,Yrs,Value,AAV,Placeholder
DAL,Kyrie Irving,PG,3,118.473846,39.491282,Official
MIL,Myles Turner,C,4,108.868482,27.217121,Official
ATL,Nickeil Alexander-Walker,SG,4,60.6472,15.1618,Official
HOU,Dorian Finney-Smith,PF,4,52.705,13.17625,Official
MEM,Santi Aldama,C,3,52.5,17.5,Agreed
HOU,Fred VanVleet,PG,2,50.0,25.0,Official
DET,Duncan Robinson,SF,3,47.978871,15.992957,Official
SAC,Dennis Schröder,PG,3,44.4276,14.8092,Official
MIL,Bobby Portis,PF,3,43.564242,14.521414,Official
SAS,Luke Kornet,C,4,40.7,10.175,Official
CLE,Sam Merrill,SG,4,38.0,9.5,Official
DET,Caris LeVert,SG,2,28.9132,14.4566,Official
MEM,Ty Jerome,SG,3,27.66015,9.22005,Agreed
MIA,Davion Mitchell,PG,2,24.0,12.0,Official
CHA,Tre Mann,PG,3,24.0,8.0,Agreed
CHI,Tre Jones,PG,3,24.0,8.0,Official
HOU,Clint Capela,C,3,21.105,7.035,Official
LAC,Brook Lopez,C,2,17.9375,8.96875,Official
NOP,Kevon Looney,C,2,16.0,8.0,Official
BKN,Day'Ron Sharpe,C,2,12.0,6.0,Agreed
BKN,Ziaire Williams,SF,2,12.0,6.0,Agreed
LAL,Jake LaRavia,PF,2,12.0,6.0,Official
MIL,Ryan Rollins,SG,3,12.0,4.0,Official
DAL,D'Angelo Russell,PG,2,11.65425,5.827125,Official
LAC,Nicolas Batum,SF,2,11.48328,5.74164,Official
NYK,Guerschon Yabusele,PF,2,11.275,5.6375,Official
ATL,Luke Kennard,SG,1,11.0,11.0,Official
DET,Paul Reed,C,2,10.938583,5.469292,Official
MIL,Kevin Porter Jr.,PG,2,10.5247,5.26235,Official
MIL,Gary Trent Jr.,SG,2,7.579065,3.789533,Official
MIL,Gary Harris,SG,2,7.450014,3.725007,Official
MIL,Taurean Prince,PF,2,7.119635,3.559818,Official
PHI,Justin Edwards,SG,3,7.076338,2.358779,Official
ORL,Tyus Jones,PG,1,7.0,7.0,Official
MIL,Jericho Sims,C,2,5.262809,2.631405,Agreed
BOS,Luka Garza,C,2,5.262809,2.631405,Official
PHI,Trendon Watford,PF,2,5.262809,2.631405,Official
TOR,Sandro Mamukelashvili,C,2,5.262809,2.631405,Official
ORL,Moritz Wagner,C,1,5.0,5.0,Official
BOS,Josh Minott,SF,2,4.963409,2.481705,Official
MEM,Cam Spencer,SG,2,4.5,2.25,Agreed
CLE,Larry Nance Jr.,PF,1,3.634153,3.634153,Official
DEN,Tim Hardaway Jr.,SG,1,3.634153,3.634153,Agreed
HOU,Jeff Green,PF,1,3.634153,3.634153,Agreed
PHI,Eric Gordon,SG,1,3.634153,3.634153,Official
CHA,Mason Plumlee,C,1,3.634153,3.634153,Agreed
TOR,Garrett Temple,SG,1,3.634153,3.634153,Official
MIN,Joe Ingles,SF,1,3.634153,3.634153,Official
PHI,Kyle Lowry,PG,1,3.634153,3.634153,Official
CHA,Spencer Dinwiddie,PG,1,3.634153,3.634153,Agreed
LAL,Jaxson Hayes,C,1,3.449323,3.449323,Official
DAL,Dante Exum,PG,1,3.303774,3.303774,Agreed
DEN,Bruce Brown Jr.,SG,1,3.080921,3.080921,Agreed
HOU,Aaron Holiday,PG,1,3.080921,3.080921,Official
HOU,Jae’Sean Tate,SF,1,2.667947,2.667947,Official
PHX,Collin Gillespie,PG,1,2.37887,2.37887,Official
PHI,Jabari Walker,SF,1,0.0,0.0,Official
NOP,Trey Alexander,SG,1,0.0,0.0,Official
MIN,Jesse Edwards,C,1,0.0,0.0,Official
LAC,Trentyn Flowers,F,1,0.0,0.0,Official
DEN,Spencer Jones,SF,1,0.0,0.0,Official
CHI,Emanuel Miller,SF,1,0.0,0.0,Official
BKN,Tyson Etienne,G,1,0.0,0.0,Official
