                        Player                    ,Pos,Age,YOE,Prev Team,Prev AAV,Type
Gordon Hayward,SF,34.2,13.0,OKC,30.0,UFA
Evan Fournier,SG,31.6,11.0,DET,18.25,UFA
Markelle Fultz,PG,26.0,7.0,ORL,16.666667,UFA
Davis Bertans,PF,31.5,7.0,CHA,16.0,UFA / Bird
Robert Covington,PF,33.4,10.0,PHI,12.0,UFA
Cedi Osman,SF,29.1,6.0,SAS,7.779711,UFA
Patrick Beverley,PG,35.8,11.0,MIL,3.196448,UFA / Non-Bird
Wesley Matthews,SG,37.6,14.0,ATL,3.196448,UFA / Non-Bird
JaVale McGee,C,36.3,15.0,SAC,3.196448,UFA / Non-Bird
Justin Holiday,SG,35.1,11.0,DEN,3.196448,UFA / Non-Bird
Jae Crowder,SF,33.8,12.0,MIL,3.196448,UFA / Bird
Reggie Bullock,SF,33.2,10.0,HOU,3.196448,UFA / Non-Bird
Jordan Nwora,SF,25.7,3.0,TOR,2.9,UFA / Bird
Boban Marjanovic,C,35.8,9.0,HOU,2.891467,UFA / Bird
Omer Yurtseven,C,25.9,3.0,UTA,2.73,UFA / Early Bird
Udoka Azubuike,C,24.7,3.0,PHX,2.537811,UFA / Two-Way
Dennis Smith Jr.,PG,26.5,7.0,BKN,2.528233,UFA / Non-Bird
Yuta Watanabe,SF,29.6,5.0,PHX,2.500629,UFA / Non-Bird
Damian Jones,C,28.9,8.0,CLE,2.442525,UFA / Early Bird
Thanasis Antetokounmpo,SF,31.8,5.0,MIL,2.346614,UFA / Bird
Oshae Brissett,SF,25.9,5.0,BOS,2.314473,UFA / Non-Bird
Kenyon Martin Jr.,PF,23.3,4.0,PHI,1.532398,UFA / Bird
Chimezie Metu,C,27.2,5.0,DET,1.435213,UFA
Aleksej Pokusevski,PF,22.4,3.0,CHA,1.419214,UFA / Non-Bird
Stanley Umude,G,25.1,2.0,DET,1.329577,UFA
Admiral Schofield,SF,27.2,3.0,ORL,1.251873,UFA / Two-Way
Luka Samanic,PF,24.3,4.0,UTA,1.24969,UFA
Bismack Biyombo,C,31.8,13.0,OKC,1.194075,UFA
Danilo Gallinari,PF,35.8,15.0,MIL,1.047112,UFA / Non-Bird
Thaddeus Young,PF,35.9,16.0,PHX,1.010371,UFA / Non-Bird
Mike Muscala,C,32.9,10.0,OKC,0.808297,UFA
Trent Forrest,PG,25.9,3.0,ATL,0.553151,UFA / Early Bird
Isaiah Thomas,PG,35.2,11.0,PHX,0.01837,UFA / Non-Bird
Usman Garuba,PF,22.2,2.0,GSW,0.011608,UFA / Non-Bird
Ashton Hagans,PG,24.8,1.0,POR,0.010355,UFA / Two-Way
Harry Giles,C,26.1,4.0,BKN,0.0,UFA / Two-Way
Dylan Windler,SF,27.7,4.0,ATL,0.0,UFA / Two-Way
Ishmail Wainright,SF,29.7,2.0,PHX,0.0,UFA / Two-Way
Nico Mannion,PG,23.2,0.0,GSW,0.0,RFA / Two-Way
Alondes Williams,G,24.9,1.0,MIA,0.0,UFA / Two-Way
Drew Peterson,F,24.5,1.0,MIA,0.0,RFA / Two-Way
Xavier Moon,SG,29.4,2.0,LAC,0.0,UFA / Two-Way
Jerome Robinson,SG,27.2,3.0,GSW,0.0,UFA / Two-Way
Daishen Nix,PG,22.2,3.0,MIN,0.0,UFA / Non-Bird
Jordan Ford,PG,26.0,0.0,SAC,0.0,UFA / Non-Bird
TyTy Washington Jr.,PG,22.5,2.0,OKC,0.0,UFA / Two-Way
Olivier Sarr,C,25.2,2.0,OKC,0.0,UFA / Two-Way
Greg Brown III,PF,22.8,2.0,DAL,0.0,UFA / Two-Way
Saben Lee,PG,24.9,3.0,PHX,0.0,UFA / Two-Way
Terquavion Smith,SG,21.4,0.0,PHI,0.0,UFA
